Initial Velocity, Mean = 0, Std = 200
v_x,v_y,v_z
2.51239,-514.731,33.1233
-147.88,-84.9088,75.8787
142.329,-204.438,59.5906
-34.8361,-202.589,-117.437
15.6655,105.894,-364.813
-159.745,61.2214,-402.043
50.6434,151.884,-59.1635
-239.426,87.7749,145.714
28.1782,267.492,-74.6
-136.095,281.179,161.811
-299.053,-82.1804,-50.3184
-620.346,84.0843,249.697
-136.104,-110.231,-175.765
203.848,-140.755,106.047
-94.5824,27.9832,66.2303
247.353,59.4857,-105.692
-56.5684,-147.419,168.532
-384.835,-135.503,161.053
-120.211,174.899,228.129
75.7732,-78.3978,-164.804
-214.269,-45.9348,-85.391
112.819,-217.24,315.549
286.726,33.6257,-120.586
325.468,-212.311,259.975
259.006,-335.699,131.499
102.4,-520.199,-120.446
63.5899,-126.773,-100.968
-66.9651,-137.852,73.1969
41.921,20.051,-227.052
346.737,-397.987,169.501
165.29,207.956,-532.462
-245.672,-107.577,232.861
113.142,-140.897,-13.4473
-226.381,-452.877,-114.984
-491.364,-79.5943,10.2343
-116.025,-103.395,134.736
-210.97,-336.692,-127.364
-142.989,7.31725,442.409
92.7615,232.501,100.075
95.1207,17.4459,192.148
-329.379,-229.749,107.333
-438.126,53.9914,-237.904
-0.679528,132.696,55.5386
105.648,-81.3956,24.2807
-113.215,251.34,235.289
-115.613,293.556,-523.641
122.136,-35.7184,70.4569
251.038,47.3062,227.595
27.5558,118.591,180.111
-80.3113,-106.921,-50.9833
-100.315,351.336,89.8384
32.5441,92.6965,-32.0558
153.778,59.2413,173.008
-322.927,-136.035,222.445
311.159,-26.5152,-206.781
-365.529,206,152.052
-112.123,393.33,137.874
440.393,105.926,-239.841
304.949,-157.329,105.32
-277.864,-106.366,123.905
-68.5903,338.507,-125.428
134.511,-333.962,110.401
74.2458,180.617,-19.7738
-62.6331,44.1543,-193.86
311.772,145.013,433.016
369.654,403.761,138.986
-249.407,-214.09,-96.6952
232.349,-107.951,76.3552
134.597,84.2245,-124.67
-43.2997,125.072,216.462
16.4586,-72.3897,-216.512
-19.508,214.317,304.532
-274.584,39.8167,-10.1747
223.825,263.908,92.9889
-266.185,55.2558,32.4699
-48.503,151.586,-139.757
-65.2641,-219.019,-35.1591
248.543,2.52762,288.84
73.7998,13.9828,142.423
-232.432,73.5637,228.276
340.545,-6.95749,-250.775
58.7321,-28.6283,-142.012
64.4781,256.307,-61.5029
206.63,-168.14,-93.9204
-90.5781,-396.084,323.64
88.7642,-86.6619,-84.9748
546.305,-164.48,486.619
210.19,313.147,-86.3865
42.8884,137.436,-70.3645
-304.702,124.47,-46.6118
-114.289,39.581,76.6045
-55.2677,205.405,159.563
69.488,196.598,185.705
-221.416,239.963,-42.2919
-179.211,-519.545,80.912
73.4318,-385.514,-156.406
-10.7231,333.98,-175.628
-320.137,115.688,-261.758
-98.6217,275.662,-431.665
223.104,-189.149,-133.163
-320.803,127.99,453.811
139.176,-162.736,111.407
377.439,192.662,107.919
326.265,-50.3049,-152.381
-30.7019,-576.556,15.5105
30.6751,-409.362,-194.194
724.294,-275.155,-211.114
-72.2229,172.91,181.935
-85.7981,-186.196,-74.1399
120.042,-35.6149,-8.65613
398.838,337.375,-170.646
-186.625,-194.977,73.9114
-20.4902,630.506,70.7515
214.617,110.364,303.922
-327.951,120.951,89.8581
-100.466,390.223,265.907
